C_umol,depth_cm
2582.10409942527,-7.33171270874988
2599.47358932475,-6.33171270874988
2614.66095369937,-5.33171270874988
2625.97869636141,-4.33171270874988
2650.3666856361,-3.33171270874988
2680.81763009039,-2.33171270874988
2691.47426823736,-1.33171270874988
2656.52459138321,-0.331712708749883
2799.73829449625,0.668287291250117
2811.33857346438,1.66828729125012
2760.43492606323,2.66828729125012
2782.60895375892,3.66828729125012
2776.48721049137,4.66828729125012
2764.39689626923,5.66828729125012
2820.48989980755,6.66828729125012
2861.2476529756,7.66828729125012
2876.42886963073,8.66828729125012
2906.76151614713,9.66828729125012
2937.80571210528,10.6682872912501
2917.93581174151,11.6682872912501
2796.64209482068,12.6682872912501
2974.46147864312,13.6682872912501
3128.5305023012,14.6682872912501
3184.03576135757,15.6682872912501
3235.77826070519,16.6682872912501
3259.42649890022,17.6682872912501
3250.70608366171,18.6682872912501
3223.85851398742,19.6682872912501
3240.92903561495,20.6682872912501
3264.39475433667,21.6682872912501
3292.05809217982,22.6682872912501
3323.31365773459,23.6682872912501
3310.18010440021,24.6682872912501
3221.39744549078,25.6682872912501
3189.14200220466,26.6682872912501
3223.7753382615,27.6682872912501
3270.4275740282,28.6682872912501
3281.67131180834,29.6682872912501
3308.14754757088,30.6682872912501
3337.68985943664,31.6682872912501
3357.63774410984,32.6682872912501
3400.67264051881,33.6682872912501
3439.97662300557,34.6682872912501
3443.90349236363,35.6682872912501
3442.3817572718,36.6682872912501
